taxid,Type,Type_PS,Species,Habitat,Database,SResolution,TResolution
1982238,Arthrobacter phage,Arthrobacter phage,Arthrobacter virus Kitkat,Reference genome,NCBI,Defined,Defined
1000737483,Ascovirus,Ascovirus,Heliothis virescens ascovirus 3a,Reference genome,IMGVR,Defined,Defined
1000737413,Ascovirus,Ascovirus,Trichoplusia ni ascovirus 2c,Reference genome,IMGVR,Defined,Defined
10497,Asfivirus,Asfivirus,African swine fever virus,Reference genome,NCBI,Defined,Defined
1000523919,Atlantibacter phage,Atlantibacter phage,Atlantibacter phage 1,Engineered,IMGVR,Defined,Defined
1000599484,Atlantibacter phage,Atlantibacter phage,Atlantibacter phage 10,Engineered,IMGVR,Defined,Defined
1000529817,Atlantibacter phage,Atlantibacter phage,Atlantibacter phage 2,Engineered,IMGVR,Defined,Defined
1000529839,Atlantibacter phage,Atlantibacter phage,Atlantibacter phage 3,Engineered,IMGVR,Defined,Defined
1000539814,Atlantibacter phage,Atlantibacter phage,Atlantibacter phage 4,Engineered,IMGVR,Defined,Defined
1000584035,Atlantibacter phage,Atlantibacter phage,Atlantibacter phage 5,Engineered,IMGVR,Defined,Defined
1000585575,Atlantibacter phage,Atlantibacter phage,Atlantibacter phage 6,Engineered,IMGVR,Defined,Defined
1000585605,Atlantibacter phage,Atlantibacter phage,Atlantibacter phage 7,Engineered,IMGVR,Defined,Defined
1000589052,Atlantibacter phage,Atlantibacter phage,Atlantibacter phage 8,Engineered,IMGVR,Defined,Defined
1000593408,Atlantibacter phage,Atlantibacter phage,Atlantibacter phage 9,Engineered,IMGVR,Defined,Defined
1000737081,Aurantiochytrium virus,Aurantiochytrium virus,Aurantiochytrium single-stranded RNA virus 01,Reference genome,IMGVR,Defined,Defined
1000110895,Avidovorax phage,Avidovorax phage,Avidovorax phage 1,Engineered,IMGVR,Defined,Defined
1000529766,Avidovorax phage,Avidovorax phage,Avidovorax phage 2,Engineered,IMGVR,Defined,Defined
1000543599,Avidovorax phage,Avidovorax phage,Avidovorax phage 3,Terrestrial(soil),IMGVR,Defined,Defined
1000096926,Bacillus phage,Bacillus phage,Bacillus phage 1,Engineered,IMGVR,Defined,Defined
1000748374,Bacillus phage,Bacillus phage,Bacillus phage 10,Curated prophage,IMGVR,Defined,Defined
1000748384,Bacillus phage,Bacillus phage,Bacillus phage 11,Curated prophage,IMGVR,Defined,Defined
1000748391,Bacillus phage,Bacillus phage,Bacillus phage 12,Curated prophage,IMGVR,Defined,Defined
1000748429,Bacillus phage,Bacillus phage,Bacillus phage 13,Curated prophage,IMGVR,Defined,Defined
1000748430,Bacillus phage,Bacillus phage,Bacillus phage 14,Curated prophage,IMGVR,Defined,Defined
1000748433,Bacillus phage,Bacillus phage,Bacillus phage 15,Curated prophage,IMGVR,Defined,Defined
1000748651,Bacillus phage,Bacillus phage,Bacillus phage 16,Curated prophage,IMGVR,Defined,Defined
1000748652,Bacillus phage,Bacillus phage,Bacillus phage 17,Curated prophage,IMGVR,Defined,Defined
1000748662,Bacillus phage,Bacillus phage,Bacillus phage 18,Curated prophage,IMGVR,Defined,Defined
1000748686,Bacillus phage,Bacillus phage,Bacillus phage 19,Curated prophage,IMGVR,Defined,Defined
1000209275,Bacillus phage,Bacillus phage,Bacillus phage 2,Host-associated(human),IMGVR,Defined,Defined
1000748820,Bacillus phage,Bacillus phage,Bacillus phage 20,Curated prophage,IMGVR,Defined,Defined
1000748834,Bacillus phage,Bacillus phage,Bacillus phage 21,Curated prophage,IMGVR,Defined,Defined
1000748858,Bacillus phage,Bacillus phage,Bacillus phage 22,Curated prophage,IMGVR,Defined,Defined
1000752524,Bacillus phage,Bacillus phage,Bacillus phage 23,Curated prophage,IMGVR,Defined,Defined
1000753002,Bacillus phage,Bacillus phage,Bacillus phage 24,Curated prophage,IMGVR,Defined,Defined
1000753105,Bacillus phage,Bacillus phage,Bacillus phage 25,Curated prophage,IMGVR,Defined,Defined
1000753197,Bacillus phage,Bacillus phage,Bacillus phage 26,Curated prophage,IMGVR,Defined,Defined
1000378178,Bacillus phage,Bacillus phage,Bacillus phage 3,Host-associated(human),IMGVR,Defined,Defined
1000403395,Bacillus phage,Bacillus phage,Bacillus phage 4,Host-associated(plants),IMGVR,Defined,Defined
1000524480,Bacillus phage,Bacillus phage,Bacillus phage 5,Engineered,IMGVR,Defined,Defined
1000586437,Bacillus phage,Bacillus phage,Bacillus phage 6,Engineered,IMGVR,Defined,Defined
1000748361,Bacillus phage,Bacillus phage,Bacillus phage 7,Curated prophage,IMGVR,Defined,Defined
1000748366,Bacillus phage,Bacillus phage,Bacillus phage 8,Curated prophage,IMGVR,Defined,Defined
1000748370,Bacillus phage,Bacillus phage,Bacillus phage 9,Curated prophage,IMGVR,Defined,Defined
547228,Bacillus phage,Bacillus phage,Bacillus phage PM1,Reference genome,NCBI,Defined,Defined
1000736223,Bacillus phage,Bacillus phage,Bacillus phage SPP1,Reference genome,IMGVR,Defined,Defined
1921017,Bacillus phage,Bacillus phage,Bacillus virus Grass,Reference genome,NCBI,Defined,Defined
2560334,Bacillus phage,Bacillus phage,Bacillus virus Moonbeam,Reference genome,NCBI,Defined,Defined
1921710,Bacillus phage,Bacillus phage,Bacillus virus Slash,Reference genome,NCBI,Defined,Defined
10685,Bacillus phage,Bacillus phage,Bacillus virus SPO1,Reference genome,NCBI,Defined,Defined
1918008,Bacillus phage,Bacillus phage,Bacillus virus Spock,Reference genome,NCBI,Defined,Defined
1922328,Bacillus phage,Bacillus phage,Bacillus virus WPh,Reference genome,NCBI,Defined,Defined
1000604137,Bacillus phage,Bacillus phage,phi29 virus,Host-associated(human),IMGVR,Defined,Defined
1000072609,Bacteroides phage,Bacteroides phage,Bacteroides phage 1,Host-associated(other),IMGVR,Defined,Defined
1000222102,Bacteroides phage,Bacteroides phage,Bacteroides phage 10,Host-associated(human),IMGVR,Defined,Defined
1000295764,Bacteroides phage,Bacteroides phage,Bacteroides phage 11,Host-associated(human),IMGVR,Defined,Defined
1000295847,Bacteroides phage,Bacteroides phage,Bacteroides phage 12,Host-associated(human),IMGVR,Defined,Defined
1000298572,Bacteroides phage,Bacteroides phage,Bacteroides phage 13,Host-associated(human),IMGVR,Defined,Defined
1000316859,Bacteroides phage,Bacteroides phage,Bacteroides phage 14,Host-associated(human),IMGVR,Defined,Defined
1000344333,Bacteroides phage,Bacteroides phage,Bacteroides phage 15,Host-associated(human),IMGVR,Defined,Defined
1000346653,Bacteroides phage,Bacteroides phage,Bacteroides phage 16,Host-associated(human),IMGVR,Defined,Defined
1000348124,Bacteroides phage,Bacteroides phage,Bacteroides phage 17,Host-associated(human),IMGVR,Defined,Defined
1000348208,Bacteroides phage,Bacteroides phage,Bacteroides phage 18,Host-associated(human),IMGVR,Defined,Defined
1000348215,Bacteroides phage,Bacteroides phage,Bacteroides phage 19,Host-associated(human),IMGVR,Defined,Defined
1000106168,Bacteroides phage,Bacteroides phage,Bacteroides phage 2,Host-associated(other),IMGVR,Defined,Defined
1000349140,Bacteroides phage,Bacteroides phage,Bacteroides phage 20,Host-associated(human),IMGVR,Defined,Defined
1000349426,Bacteroides phage,Bacteroides phage,Bacteroides phage 21,Host-associated(human),IMGVR,Defined,Defined
1000349464,Bacteroides phage,Bacteroides phage,Bacteroides phage 22,Host-associated(human),IMGVR,Defined,Defined
1000350010,Bacteroides phage,Bacteroides phage,Bacteroides phage 23,Host-associated(human),IMGVR,Defined,Defined
1000350300,Bacteroides phage,Bacteroides phage,Bacteroides phage 24,Host-associated(human),IMGVR,Defined,Defined
1000366806,Bacteroides phage,Bacteroides phage,Bacteroides phage 25,Host-associated(human),IMGVR,Defined,Defined
1000367306,Bacteroides phage,Bacteroides phage,Bacteroides phage 26,Host-associated(human),IMGVR,Defined,Defined
1000367472,Bacteroides phage,Bacteroides phage,Bacteroides phage 27,Host-associated(human),IMGVR,Defined,Defined
1000376257,Bacteroides phage,Bacteroides phage,Bacteroides phage 28,Host-associated(human),IMGVR,Defined,Defined
1000377576,Bacteroides phage,Bacteroides phage,Bacteroides phage 29,Host-associated(human),IMGVR,Defined,Defined
1000144279,Bacteroides phage,Bacteroides phage,Bacteroides phage 3,Host-associated(other),IMGVR,Defined,Defined
1000378519,Bacteroides phage,Bacteroides phage,Bacteroides phage 30,Host-associated(human),IMGVR,Defined,Defined
1000378596,Bacteroides phage,Bacteroides phage,Bacteroides phage 31,Host-associated(human),IMGVR,Defined,Defined
1000381270,Bacteroides phage,Bacteroides phage,Bacteroides phage 32,Host-associated(human),IMGVR,Defined,Defined
